date,country,traffic_channel,device_type,platform,visits,session_duration,no_of_customers,impressions,views,wishlist_adds,cart_adds,items_purchased
2024-01-26,Ireland,Paid,Tablet,Android,4,3.45,1,7768,743,8,26,7
2024-09-07,Ireland,Organic,Desktop,Android,3,5.17,2,11615,1910,25,178,35
2024-04-14,Germany,Direct,Desktop,Android,7,5.21,2,9680,2189,52,213,77
2025-07-12,Ireland,Organic,Desktop,iOS,7,3.27,6,10914,2218,39,210,54
2025-03-08,United Kingdom,Organic,Mobile,iOS,3,4.14,3,3628,675,17,59,19
2024-04-05,United Kingdom,Organic,Mobile,iOS,5,4.72,1,2697,464,11,30,6
2025-06-01,Germany,Organic,Mobile,Android,4,7.08,2,4679,644,18,40,11
2025-07-28,Spain,Direct,Desktop,iOS,7,9.82,1,7520,1764,51,155,42
2024-08-13,Germany,Direct,Mobile Web,Android,2,6.13,2,3423,669,12,47,9
2024-10-11,Italy,Social,Mobile,Android,6,2.38,5,1151,37,1,2,0
2025-03-08,United Kingdom,CRM,Mobile,iOS,5,3.86,2,3813,1095,27,108,44
2024-06-08,France,Referral,Mobile Web,Others,6,2.25,3,1725,135,6,5,0
2024-04-14,Germany,Organic,Mobile,iOS,5,3.2,3,5135,953,28,76,18
2024-04-09,United Kingdom,Organic,Mobile,Android,7,1.73,4,5183,888,5,62,18
2025-09-10,France,Organic,Tablet,Android,11,6.61,6,6096,860,7,55,9
2024-02-14,France,Social,Desktop,iOS,7,4.58,7,7688,568,13,28,6
2025-07-03,Ireland,Paid,Mobile Web,Android,4,4.03,4,5929,389,9,16,4
2024-03-21,United Kingdom,Referral,Desktop,Others,10,3.79,7,8592,1284,43,117,25
2025-10-05,Spain,Paid,Mobile,Others,2,4.04,2,4366,273,2,12,1
2025-08-14,Spain,Referral,Tablet,Android,4,2.78,3,4718,449,14,15,2
2024-03-12,Germany,CRM,Mobile Web,Android,6,1.72,6,9256,2052,31,156,60
2024-08-21,United Kingdom,Direct,Mobile,iOS,6,7.3,6,7055,1566,48,159,51
